season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2026,2026-04-06,823002,ML,HOME,Tampa Bay Rays,Chicago Cubs,2026-04-06 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2026,2026-04-08,823403,ML,AWAY,Pittsburgh Pirates,San Diego Padres,2026-04-08 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2026,2026-04-08,823000,ML,HOME,Tampa Bay Rays,Chicago Cubs,2026-04-08 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2026,2026-04-14,824292,ML,AWAY,Detroit Tigers,Kansas City Royals,2026-04-14 12:00:00+00:00,HistoricalBasic,105.0,105.0,105.0
2026,2026-04-15,825021,ML,AWAY,Athletics,Texas Rangers,2026-04-15 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2026,2026-04-15,824615,ML,HOME,Chicago White Sox,Tampa Bay Rays,2026-04-15 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2026,2026-04-16,824453,ML,HOME,Cleveland Guardians,Baltimore Orioles,2026-04-16 12:00:00+00:00,HistoricalBasic,-120.0,-120.0,-120.0
2026,2026-04-19,823475,ML,AWAY,Philadelphia Phillies,Atlanta Braves,2026-04-19 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
2026,2026-04-20,824692,ML,HOME,Chicago Cubs,Philadelphia Phillies,2026-04-20 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2026,2026-04-20,824450,ML,HOME,Cleveland Guardians,Houston Astros,2026-04-20 12:00:00+00:00,HistoricalBasic,-115.0,-115.0,-115.0
2026,2026-04-21,824773,ML,HOME,Boston Red Sox,New York Yankees,2026-04-21 12:00:00+00:00,HistoricalBasic,-105.0,-105.0,-105.0
2026,2026-04-23,824689,ML,HOME,Chicago Cubs,Philadelphia Phillies,2026-04-23 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2026,2026-04-24,822992,ML,HOME,Tampa Bay Rays,Minnesota Twins,2026-04-24 12:00:00+00:00,HistoricalBasic,-125.0,-125.0,-125.0
2026,2026-04-25,825093,ML,HOME,Arizona Diamondbacks,San Diego Padres,2026-04-25 12:00:00+00:00,HistoricalBasic,-120.0,-120.0,-120.0
2026,2026-04-27,824609,ML,HOME,Chicago White Sox,Los Angeles Angels,2026-04-27 12:00:00+00:00,HistoricalBasic,100.0,100.0,100.0
