segment,bets,wins,losses,pushes,win_rate,profit_units,roi,clv_wins,clv_losses,clv_win_rate,ml_side_segment,price_band,shrunk_clv_win_rate,shrunk_roi,stake_multiplier,allowed_segment
HOME_DOG_DOG_100_140,155,92,63,0,0.5935483870967742,37.16,0.23974193548387093,153,2,0.9870967741935484,HOME_DOG,DOG_100_140,0.9081081081081082,0.20086486486486485,1.5,True
HOME_DOG_DOG_140_PLUS,17,7,10,0,0.4117647058823529,1.7099999999999995,0.10058823529411762,17,0,1.0,HOME_DOG,DOG_140_PLUS,0.6808510638297872,0.03638297872340424,1.5,False
HOME_DOG_FAV_LT_160,28,15,13,0,0.5357142857142857,1.4731799237673657,0.052613568705977345,28,0,1.0,HOME_DOG,FAV_LT_160,0.7413793103448276,0.02539965385805803,1.5,True
HOME_FAVORITE_DOG_100_140,1,1,0,0,1.0,1.25,1.25,0,0,0.0,HOME_FAVORITE,DOG_100_140,0.5,0.04032258064516129,1.1416129032258064,False
HOME_FAVORITE_FAV_160_220,1,1,0,0,1.0,0.6024096385542169,0.6024096385542169,1,0,1.0,HOME_FAVORITE,FAV_160_220,0.5161290322580645,0.0194325689856199,1.085549941702293,False
HOME_FAVORITE_FAV_LT_160,67,44,23,0,0.6567164179104478,13.507705142895333,0.201607539446199,66,0,1.0,HOME_FAVORITE,FAV_LT_160,0.84375,0.13925469219479725,1.5,True
ROAD_DOG_DOG_100_140,112,64,48,0,0.5714285714285714,22.639999999999997,0.20214285714285712,112,0,1.0,ROAD_DOG,DOG_100_140,0.8943661971830986,0.15943661971830983,1.5,True
ROAD_DOG_DOG_140_PLUS,26,17,9,0,0.6538461538461539,22.790000000000003,0.8765384615384616,26,0,1.0,ROAD_DOG,DOG_140_PLUS,0.7321428571428571,0.4069642857142858,1.5,True
ROAD_DOG_FAV_LT_160,23,14,9,0,0.6086956521739131,4.400292405111034,0.1913170610917841,23,0,1.0,ROAD_DOG,FAV_LT_160,0.7169811320754716,0.08302438500209498,1.5,True
ROAD_FAVORITE_DOG_100_140,1,0,1,0,0.0,-1.0,-1.0,0,0,0.0,ROAD_FAVORITE,DOG_100_140,0.5,-0.03225806451612903,0.7787096774193548,False
ROAD_FAVORITE_FAV_160_220,1,0,1,0,0.0,-1.0,-1.0,1,0,1.0,ROAD_FAVORITE,FAV_160_220,0.5161290322580645,-0.03225806451612903,0.8270967741935483,False
ROAD_FAVORITE_FAV_LT_160,39,19,20,0,0.48717948717948717,-4.128857511692255,-0.10586814132544244,36,2,0.9473684210526315,ROAD_FAVORITE,FAV_LT_160,0.75,-0.05983851466220659,1.390807426688967,False
