season,game_date,game_pk,market,side,home_team,away_team,bet_odds_timestamp,bet_snapshot_source,bet_price,wager_price,selected_open_price
2024,2024-03-28,745116,ML,HOME,Tampa Bay Rays,Toronto Blue Jays,2024-03-28 12:00:00+00:00,HistoricalBasic,-130.0,-130.0,-130.0
2024,2024-03-29,746412,ML,AWAY,Houston Astros,New York Yankees,2024-03-29 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-03-30,746087,ML,AWAY,Miami Marlins,Pittsburgh Pirates,2024-03-30 12:00:00+00:00,HistoricalBasic,106.0,106.0,106.0
2024,2024-03-31,745845,ML,HOME,New York Mets,Milwaukee Brewers,2024-03-31 12:00:00+00:00,HistoricalBasic,-126.0,-126.0,-126.0
2024,2024-04-01,745437,ML,HOME,San Diego Padres,St. Louis Cardinals,2024-04-01 12:00:00+00:00,HistoricalBasic,102.0,102.0,102.0
2024,2024-04-01,745109,ML,HOME,Tampa Bay Rays,Texas Rangers,2024-04-01 12:00:00+00:00,HistoricalBasic,-116.0,-116.0,-116.0
2024,2024-04-02,746009,ML,HOME,Milwaukee Brewers,Minnesota Twins,2024-04-02 12:00:00+00:00,HistoricalBasic,-106.0,-106.0,-106.0
2024,2024-04-02,745111,ML,HOME,Tampa Bay Rays,Texas Rangers,2024-04-02 12:00:00+00:00,HistoricalBasic,-148.0,-148.0,-148.0
2024,2024-04-04,745844,ML,HOME,New York Mets,Detroit Tigers,2024-04-04 12:00:00+00:00,HistoricalBasic,105.0,105.0,105.0
2024,2024-04-06,746006,ML,HOME,Milwaukee Brewers,Seattle Mariners,2024-04-06 12:00:00+00:00,HistoricalBasic,-106.0,-106.0,-106.0
2024,2024-04-07,745032,ML,HOME,Texas Rangers,Houston Astros,2024-04-07 12:00:00+00:00,HistoricalBasic,-102.0,-102.0,-102.0
2024,2024-04-08,745034,ML,HOME,Texas Rangers,Houston Astros,2024-04-08 12:00:00+00:00,HistoricalBasic,110.0,110.0,110.0
2024,2024-04-10,744950,ML,HOME,Toronto Blue Jays,Seattle Mariners,2024-04-10 12:00:00+00:00,HistoricalBasic,-104.0,-104.0,-104.0
