season,game_date,game_pk,market,side,home_team,away_team,close_odds_timestamp,closing_snapshot_source,game_start_time_utc,clv_locked_before_game,close_line,selected_close_price,closing_total,clv_price_delta,clv_implied_probability_delta,clv_result
2024,2024-03-28,746821,OU,OVER,Chicago White Sox,Detroit Tigers,2024-03-28 23:55:00+00:00,HistoricalBasic,2024-03-28 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-03-29,745682,OU,OVER,Oakland Athletics,Cleveland Guardians,2024-03-29 23:55:00+00:00,HistoricalBasic,2024-03-29 23:59:00+00:00,True,7.5,-110.0,7.5,0.0,,PUSH
2024,2024-04-01,745842,OU,OVER,New York Mets,Detroit Tigers,2024-04-01 23:55:00+00:00,HistoricalBasic,2024-04-01 23:59:00+00:00,True,7.5,-122.0,7.5,0.0,,PUSH
2024,2024-04-01,745600,OU,OVER,Philadelphia Phillies,Cincinnati Reds,2024-04-01 23:55:00+00:00,HistoricalBasic,2024-04-01 23:59:00+00:00,True,8.0,-114.0,8.0,0.0,,PUSH
2024,2024-04-01,744875,OU,OVER,Washington Nationals,Pittsburgh Pirates,2024-04-01 23:55:00+00:00,HistoricalBasic,2024-04-01 23:59:00+00:00,True,8.5,-115.0,8.5,0.0,,PUSH
2024,2024-04-02,745680,OU,OVER,Oakland Athletics,Boston Red Sox,2024-04-02 23:55:00+00:00,HistoricalBasic,2024-04-02 23:59:00+00:00,True,8.5,100.0,8.5,1.0,,WIN
2024,2024-04-08,745432,OU,OVER,San Diego Padres,Chicago Cubs,2024-04-08 23:55:00+00:00,HistoricalBasic,2024-04-08 23:59:00+00:00,True,7.5,-115.0,7.5,0.0,,PUSH
2024,2024-04-09,745433,OU,OVER,San Diego Padres,Chicago Cubs,2024-04-09 23:55:00+00:00,HistoricalBasic,2024-04-09 23:59:00+00:00,True,8.0,-106.0,8.0,0.0,,PUSH
2024,2024-04-15,745677,OU,OVER,Oakland Athletics,St. Louis Cardinals,2024-04-15 23:55:00+00:00,HistoricalBasic,2024-04-15 23:59:00+00:00,True,7.5,-114.0,7.5,0.0,,PUSH
2024,2024-04-19,746650,OU,OVER,Cleveland Guardians,Oakland Athletics,2024-04-19 23:55:00+00:00,HistoricalBasic,2024-04-19 23:59:00+00:00,True,8.5,-110.0,8.5,1.0,,WIN
2024,2024-04-20,745590,OU,OVER,Philadelphia Phillies,Chicago White Sox,2024-04-20 23:55:00+00:00,HistoricalBasic,2024-04-20 23:59:00+00:00,True,7.5,-118.0,7.5,0.0,,PUSH
2024,2024-04-21,745759,OU,OVER,New York Yankees,Tampa Bay Rays,2024-04-21 23:55:00+00:00,HistoricalBasic,2024-04-21 23:59:00+00:00,True,8.0,-118.0,8.0,0.5,,WIN
2024,2024-04-25,746646,OU,OVER,Cleveland Guardians,Boston Red Sox,2024-04-25 23:55:00+00:00,HistoricalBasic,2024-04-25 23:59:00+00:00,True,7.5,-104.0,7.5,0.0,,PUSH
2024,2024-04-26,746243,OU,OVER,Los Angeles Angels,Minnesota Twins,2024-04-26 23:55:00+00:00,HistoricalBasic,2024-04-26 23:59:00+00:00,True,8.0,-122.0,8.0,-0.5,,LOSS
2024,2024-04-29,747211,OU,UNDER,Arizona Diamondbacks,Los Angeles Dodgers,2024-04-29 23:55:00+00:00,HistoricalBasic,2024-04-29 23:59:00+00:00,True,10.0,100.0,10.0,-0.0,,PUSH
