segment,bets,wins,losses,pushes,win_rate,profit_units,roi,clv_wins,clv_losses,clv_win_rate,ml_side_segment,price_band,shrunk_clv_win_rate,shrunk_roi,stake_multiplier,allowed_segment
HOME_DOG_DOG_100_140,129,78,51,0,0.6046511627906976,33.76,0.2617054263565891,129,0,1.0,HOME_DOG,DOG_100_140,0.9056603773584906,0.21232704402515723,1.5,True
HOME_DOG_DOG_140_PLUS,14,6,8,0,0.42857142857142855,1.71,0.12214285714285714,14,0,1.0,HOME_DOG,DOG_140_PLUS,0.6590909090909091,0.038863636363636364,1.5,False
HOME_DOG_FAV_LT_160,25,15,10,0,0.6,4.5193333633725254,0.18077333453490102,25,0,1.0,HOME_DOG,FAV_LT_160,0.7272727272727273,0.0821696975158641,1.5,True
HOME_FAVORITE_DOG_100_140,1,1,0,0,1.0,1.25,1.25,0,0,0.0,HOME_FAVORITE,DOG_100_140,0.5,0.04032258064516129,1.1416129032258064,False
HOME_FAVORITE_FAV_160_220,1,1,0,0,1.0,0.6024096385542169,0.6024096385542169,1,0,1.0,HOME_FAVORITE,FAV_160_220,0.5161290322580645,0.0194325689856199,1.085549941702293,False
HOME_FAVORITE_FAV_LT_160,56,36,20,0,0.6428571428571429,10.278189277519536,0.1835390942414203,56,0,1.0,HOME_FAVORITE,FAV_LT_160,0.8255813953488372,0.1195138288083667,1.5,True
ROAD_DOG_DOG_100_140,113,68,45,0,0.6017699115044248,30.099999999999998,0.2663716814159292,113,0,1.0,ROAD_DOG,DOG_100_140,0.8951048951048951,0.21048951048951048,1.5,True
ROAD_DOG_DOG_140_PLUS,25,14,11,0,0.56,14.07,0.5628,25,0,1.0,ROAD_DOG,DOG_140_PLUS,0.7272727272727273,0.25581818181818183,1.5,True
ROAD_DOG_FAV_LT_160,34,18,16,0,0.5294117647058824,1.2476568629083438,0.036695790085539526,34,0,1.0,ROAD_DOG,FAV_LT_160,0.765625,0.01949463848294287,1.5,True
ROAD_FAVORITE_DOG_100_140,1,0,1,0,0.0,-1.0,-1.0,0,0,0.0,ROAD_FAVORITE,DOG_100_140,0.5,-0.03225806451612903,0.7787096774193548,False
ROAD_FAVORITE_FAV_LT_160,50,28,22,0,0.56,1.2170921982636056,0.02434184396527211,47,1,0.9791666666666666,ROAD_FAVORITE,FAV_LT_160,0.7948717948717948,0.01521365247829507,1.5,True
